38 Provinsi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV SULAWESI SELATAN,0.54,0.2,0.08,0.09,0.13,0.03,0.05,0.07,0.04,0.01,0,0.01,-,0.54,0.2,0.08,0.09,0.13,0.03,0.05,0.07,0.04,0.01,0,0.01,-
PROV SULAWESI TENGGARA,1.26,0.17,0.13,0.17,0.15,0.07,0.1,0,0.12,0.13,0.05,0.17,-,1.26,0.17,0.13,0.17,0.15,0.07,0.1,0,0.12,0.13,0.05,0.17,-
PROV GORONTALO,1.31,0.19,0,0,0.28,0,0,0.01,0.14,0,0.02,0.56,-,1.31,0.19,0,0,0.28,0,0,0.01,0.14,0,0.02,0.56,-
PROV SULAWESI BARAT,0.04,0,0,0.34,0.22,0,0,0.05,0,0,0.01,0.23,-,0.04,0,0,0.34,0.22,0,0,0.05,0,0,0.01,0.23,-
PROV MALUKU,0.47,0.04,0.41,0,0.04,0.03,0,0.05,0.11,0,0.11,0.06,-,0.47,0.04,0.41,0,0.04,0.03,0,0.05,0.11,0,0.11,0.06,-
PROV MALUKU UTARA,0.84,0.4,0.01,0,0,0,0,0.4,0,0.18,0.19,0.22,-,0.84,0.4,0.01,0,0,0,0,0.4,0,0.18,0.19,0.22,-
PROV PAPUA BARAT,1.17,0,0.35,0,0.56,0.37,1.16,0.15,0.25,0.06,0.38,0.1,-,1.17,0,0.35,0,0.56,0.37,1.16,0.15,0.25,0.06,0.38,0.1,-
PROV PAPUA BARAT DAYA,0.4,0.21,0.35,0.24,0.07,0.17,0.28,0.57,0.27,0.01,0,0,-,0.4,0.21,0.35,0.24,0.07,0.17,0.28,0.57,0.27,0.01,0,0,-
PROV PAPUA,0,0,0,0,0,0.1,0,0.21,0,0,0,0.23,-,0,0,0,0,0,0.1,0,0.21,0,0,0,0.23,-
PROV PAPUA SELATAN,1.31,0.38,0.1,1.01,0.07,0.11,0,0.11,0.01,0.14,0.06,0,-,1.31,0.38,0.1,1.01,0.07,0.11,0,0.11,0.01,0.14,0.06,0,-
PROV PAPUA TENGAH,1.51,0,0.65,0.09,0.24,0.03,0,0,0,0,0.07,0.04,-,1.51,0,0.65,0.09,0.24,0.03,0,0,0,0,0.07,0.04,-
PROV PAPUA PEGUNUNGAN,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-
INDONESIA,0.3,0.17,0.12,0.19,0.09,0.07,0.07,0.1,0.08,0.06,0.06,0.13,-,0.3,0.17,0.12,0.19,0.09,0.07,0.07,0.1,0.08,0.06,0.06,0.13,-
