150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA METRO,0.35,0,0.27,0.19,0,0,0,0.07,0,0,0,0,-,0.35,0,0.27,0.19,0,0,0,0.07,0,0,0,0,-
TANJUNG PANDAN,0,0,0,0,0,0.08,0,0.06,0.46,0,0,0,-,0,0,0,0,0,0.08,0,0.06,0.46,0,0,0,-
KAB BANGKA BARAT,0,0,0,0.43,0.1,0,0,0,0.32,0,0,0,-,0,0,0,0.43,0.1,0,0,0,0.32,0,0,0,-
KAB BELITUNG TIMUR,0,0,0,0,0,0,0.14,0,0,0,0,0,-,0,0,0,0,0,0,0.14,0,0,0,0,0,-
KOTA PANGKAL PINANG,0,0.19,0,0,0.13,0.18,0.46,0.26,0,0,0,0,-,0,0.19,0,0,0.13,0.18,0.46,0.26,0,0,0,0,-
KAB KARIMUN,0,0,0,0.13,1.37,0.24,0,0.17,0.04,0.16,0.34,0.11,-,0,0,0,0.13,1.37,0.24,0,0.17,0.04,0.16,0.34,0.11,-
KOTA BATAM,1.27,0.94,0.03,0,0.35,0,0.07,0,0.27,0.38,0.03,0,-,1.27,0.94,0.03,0,0.35,0,0.07,0,0.27,0.38,0.03,0,-
KOTA TANJUNG PINANG,0,0,0,0.08,0,0,0,0,0,0,0,0.07,-,0,0,0,0.08,0,0,0,0,0,0,0,0.07,-
KOTA JAKARTA,0.24,0.02,0.1,0,0.01,0,0.09,0.2,0.04,0,0.11,0.02,-,0.24,0.02,0.1,0,0.01,0,0.09,0.2,0.04,0,0.11,0.02,-
KAB BANDUNG,0.02,0.25,0.14,0.1,0,0,0,0,0,0.17,0.05,0.02,-,0.02,0.25,0.14,0.1,0,0,0,0,0,0.17,0.05,0.02,-
KAB MAJALENGKA,0.23,0.12,0,0.11,0.11,0,0,0.08,0.1,0.01,0.01,0.15,-,0.23,0.12,0,0.11,0.11,0,0,0.08,0.1,0.01,0.01,0.15,-
KAB SUBANG,0.33,0.14,0.01,0,0,0,0,0,0,0,0,0,-,0.33,0.14,0.01,0,0,0,0,0,0,0,0,0,-
KOTA BOGOR,0,1.1,0.08,0.13,0,0.11,0.11,0,0.25,0,0,0.07,-,0,1.1,0.08,0.13,0,0.11,0.11,0,0.25,0,0,0.07,-
KOTA SUKABUMI,0.42,0.66,0.15,0.2,0,0.42,0,0,0.1,0,0.59,0.08,-,0.42,0.66,0.15,0.2,0,0.42,0,0,0.1,0,0.59,0.08,-
