150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA TARAKAN,0.45,0.5,0.54,1.43,1.86,1.8,1.71,1.71,1.99,1.99,1.97,1.91,-,0.45,0.5,0.54,1.43,1.86,1.8,1.71,1.71,1.99,1.99,1.97,1.91,-
KAB MINAHASA SELATAN,1.58,1.13,1.13,1.04,0.8,0.49,1.29,1.43,1.66,1.73,1.73,1.73,-,1.58,1.13,1.13,1.04,0.8,0.49,1.29,1.43,1.66,1.73,1.73,1.73,-
KAB MINAHASA UTARA,4.23,4.53,1.83,1.83,1.69,1.48,1.6,1.64,1.64,1.64,1.64,1.64,-,4.23,4.53,1.83,1.83,1.69,1.48,1.6,1.64,1.64,1.64,1.64,1.64,-
KOTA MANADO,2.24,2.28,2.48,2.54,2.3,2.3,1.55,1.46,1.4,1.4,1.4,1.4,-,2.24,2.28,2.48,2.54,2.3,2.3,1.55,1.46,1.4,1.4,1.4,1.4,-
KOTA KOTAMOBAGU,0.78,0.76,0.76,0.76,0.44,0.28,0.2,0.2,0.34,0.36,0.36,0.36,-,0.78,0.76,0.76,0.76,0.44,0.28,0.2,0.2,0.34,0.36,0.36,0.36,-
LUWUK,4.44,2,2.19,3.31,3.07,3,2.82,3.4,3.54,4.17,4.6,4.75,-,4.44,2,2.19,3.31,3.07,3,2.82,3.4,3.54,4.17,4.6,4.75,-
KAB MOROWALI,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.38,0.38,0.06,0.03,0.03,-,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.38,0.38,0.06,0.03,0.03,-
KAB TOLI TOLI,2.47,2.49,2.49,3.05,1.12,1.12,1.12,2.14,2.14,2.13,2.91,3.35,-,2.47,2.49,2.49,3.05,1.12,1.12,1.12,2.14,2.14,2.13,2.91,3.35,-
KOTA PALU,2.96,3.07,3.69,3.83,3.83,3.89,3.11,3.9,3.9,3.98,3.02,3.06,-,2.96,3.07,3.69,3.83,3.83,3.89,3.11,3.9,3.9,3.98,3.02,3.06,-
BULUKUMBA,1.05,1.07,1.26,1.28,1.48,1.71,1.75,1.76,1.77,1.77,1.7,1.74,-,1.05,1.07,1.26,1.28,1.48,1.71,1.75,1.76,1.77,1.77,1.7,1.74,-
WATAMPONE,2.31,2.18,1.88,1.96,2.34,2.34,2.23,2.12,1.89,2.07,2.05,2.04,-,2.31,2.18,1.88,1.96,2.34,2.34,2.23,2.12,1.89,2.07,2.05,2.04,-
KAB WAJO,0.79,0.77,0.77,0.75,0.75,0.75,0.49,0.49,0.43,0.02,0.02,0.02,-,0.79,0.77,0.77,0.75,0.75,0.75,0.49,0.49,0.43,0.02,0.02,0.02,-
KAB SIDENRENG RAPPANG,1.34,1.34,1.34,1.34,0,0,0.44,1.36,1.43,1.43,1.43,1.43,-,1.34,1.34,1.34,1.34,0,0,0.44,1.36,1.43,1.43,1.43,1.43,-
KAB LUWU TIMUR,0.48,0.55,0.52,0.52,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-,0.48,0.55,0.52,0.52,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-
KOTA MAKASSAR,4.18,4.51,4.53,4.53,4.7,4.65,4.66,4.51,4.41,3.15,2.23,1.58,-,4.18,4.51,4.53,4.53,4.7,4.65,4.66,4.51,4.41,3.15,2.23,1.58,-
KOTA PARE PARE,4.61,4.75,3.9,4.02,3.69,3.05,2.86,1.03,1.05,0.98,0.98,0.98,-,4.61,4.75,3.9,4.02,3.69,3.05,2.86,1.03,1.05,0.98,0.98,0.98,-
KOTA PALOPO,1.56,1.56,1.2,0.15,0.16,0.16,0.16,0.16,0.16,0.02,0.02,0.02,-,1.56,1.56,1.2,0.15,0.16,0.16,0.16,0.16,0.16,0.02,0.02,0.02,-
KAB KONAWE,1.48,1.37,1.32,1.09,1.37,1.37,1.75,1.73,1.73,1.73,1.75,2.04,-,1.48,1.37,1.32,1.09,1.37,1.37,1.75,1.73,1.73,1.73,1.75,2.04,-
KAB KOLAKA,3.34,3.39,3.58,3.29,1.98,1.57,0.94,0.94,0.86,1.62,1.62,1.62,-,3.34,3.39,3.58,3.29,1.98,1.57,0.94,0.94,0.86,1.62,1.62,1.62,-
KOTA KENDARI,3.39,3.11,3.21,2.78,2.81,2.88,2.82,2.71,2.8,2.78,2.79,3.02,-,3.39,3.11,3.21,2.78,2.81,2.88,2.82,2.71,2.8,2.78,2.79,3.02,-
KOTA BAU BAU,4.76,4.82,4.57,4.53,4.24,4.24,2.81,2.7,2.01,2.04,2.37,2.37,-,4.76,4.82,4.57,4.53,4.24,4.24,2.81,2.7,2.01,2.04,2.37,2.37,-
KAB GORONTALO,2.78,3.09,2.64,2.64,3.14,3.14,3.14,3.14,3.4,3.4,3.4,4.42,-,2.78,3.09,2.64,2.64,3.14,3.14,3.14,3.14,3.4,3.4,3.4,4.42,-
KOTA GORONTALO,1.08,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.19,0.19,0.23,0.23,-,1.08,0.17,0.17,0.17,0.17,0.17,0.17,0.19,0.19,0.19,0.23,0.23,-
KAB MAJENE,0.03,0.03,0,0,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.48,-,0.03,0.03,0,0,0.3,0.3,0.3,0.38,0.38,0.38,0.38,0.48,-
MAMUJU,1.49,1.25,1.04,1.88,1.9,1.79,1.79,1.47,1.36,1.36,1.32,1.79,-,1.49,1.25,1.04,1.88,1.9,1.79,1.79,1.47,1.36,1.36,1.32,1.79,-
KAB MALUKU TENGAH,14.22,14.28,14.26,12.29,11.24,6.55,6.54,2.98,1.83,1.83,0.26,0.34,-,14.22,14.28,14.26,12.29,11.24,6.55,6.54,2.98,1.83,1.83,0.26,0.34,-
KOTA AMBON,6.13,6.16,5.67,4.1,3.26,2.55,1.93,1.56,1.72,1.71,1.83,1.87,-,6.13,6.16,5.67,4.1,3.26,2.55,1.93,1.56,1.72,1.71,1.83,1.87,-
KOTA TUAL,0.25,0.25,0.25,0.14,0.71,0.71,0.71,0.78,0.72,0.72,0.72,0.72,-,0.25,0.25,0.25,0.14,0.71,0.71,0.71,0.78,0.72,0.72,0.72,0.72,-
KAB HALMAHERA TENGAH,2.71,2.21,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.16,-,2.71,2.21,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.16,-
KOTA TERNATE,5.47,5.61,4.26,4.15,4.15,4.15,4.15,3.84,3.24,3.22,2.66,2.51,-,5.47,5.61,4.26,4.15,4.15,4.15,4.15,3.84,3.24,3.22,2.66,2.51,-
MANOKWARI,2.03,2.03,2.39,2.39,2.79,2.94,3.65,3.8,4.07,4.13,4.52,4.63,-,2.03,2.03,2.39,2.39,2.79,2.94,3.65,3.8,4.07,4.13,4.52,4.63,-
KAB SORONG,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.02,0.37,0.37,0.37,0.37,-,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.02,0.37,0.37,0.37,0.37,-
KAB SORONG SELATAN,6.37,5.83,1.61,1.77,1.77,1.77,1.64,1.55,0.64,0.86,0.86,0.86,-,6.37,5.83,1.61,1.77,1.77,1.77,1.64,1.55,0.64,0.86,0.86,0.86,-
KOTA SORONG,2.58,2.19,2,2.32,2.41,2.3,2.65,3.43,3.69,3.69,3.66,3.33,-,2.58,2.19,2,2.32,2.41,2.3,2.65,3.43,3.69,3.69,3.66,3.33,-
KOTA JAYAPURA,0.59,0.45,0.4,0.27,0.27,0.12,0.12,0.33,0.33,0.33,0.33,0.54,-,0.59,0.45,0.4,0.27,0.27,0.12,0.12,0.33,0.33,0.33,0.33,0.54,-
MERAUKE,3.98,3.57,3.43,4.16,3.85,3.97,3.97,3.17,3.17,3.31,3.37,3.35,-,3.98,3.57,3.43,4.16,3.85,3.97,3.97,3.17,3.17,3.31,3.37,3.35,-
TIMIKA,6.13,5.64,6.24,6.26,6.67,6.67,6.67,5.94,5.88,3.51,3.55,3.55,-,6.13,5.64,6.24,6.26,6.67,6.67,6.67,5.94,5.88,3.51,3.55,3.55,-
KAB NABIRE,2.69,2.69,2.88,3.06,2.56,2.64,2.64,2.64,2.08,1.79,1.79,1.18,-,2.69,2.69,2.88,3.06,2.56,2.64,2.64,2.64,2.08,1.79,1.79,1.18,-
KAB JAYAWIJAYA,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0,0,0,0,-,0.37,0.37,0.37,0.37,0.37,0.37,0,0,0,0,0,0,-
INDONESIA,2.47,2.47,2.26,2.14,1.97,1.95,1.86,1.85,1.8,1.61,1.5,1.46,-,2.47,2.47,2.26,2.14,1.97,1.95,1.86,1.85,1.8,1.61,1.5,1.46,-
