150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB MUARA ENIM,0.99,1.15,1.15,1.05,0.47,0.22,0.22,0.16,0.16,0.16,0.16,0.16,-,0.99,1.15,1.15,1.05,0.47,0.22,0.22,0.16,0.16,0.16,0.16,0.16,-
KOTA PALEMBANG,0.88,0.91,0.7,0.92,1.45,1.29,1.36,1.45,1.32,1.32,1.27,1.42,-,0.88,0.91,0.7,0.92,1.45,1.29,1.36,1.45,1.32,1.32,1.27,1.42,-
KOTA LUBUK LINGGAU,1.82,1.78,1.18,1.09,1.45,1.36,1.36,1.5,1.41,1.58,1.33,1.41,-,1.82,1.78,1.18,1.09,1.45,1.36,1.36,1.5,1.41,1.58,1.33,1.41,-
KAB MUKO MUKO,3.5,3.5,3.46,3.31,2.92,2.88,2.88,2.88,4.31,3.49,2.15,2.15,-,3.5,3.5,3.46,3.31,2.92,2.88,2.88,2.88,4.31,3.49,2.15,2.15,-
KOTA BENGKULU,2.21,1.75,1.62,1.7,1.16,1.41,1.36,0.83,0.91,0.97,1.04,1.04,-,2.21,1.75,1.62,1.7,1.16,1.41,1.36,0.83,0.91,0.97,1.04,1.04,-
KAB LAMPUNG TIMUR,1.74,1.74,0.86,0.86,0.86,0,0,0,0,0,0,0,-,1.74,1.74,0.86,0.86,0.86,0,0,0,0,0,0,0,-
KAB MESUJI,1.54,1.54,1.54,1.54,2.42,2.42,2.77,3.82,3.82,2.24,2.24,2.24,-,1.54,1.54,1.54,1.54,2.42,2.42,2.77,3.82,3.82,2.24,2.24,2.24,-
KOTA BANDAR LAMPUNG,1.55,1.55,1.55,1.64,1.46,1.62,1.81,2.09,1.78,1.78,1.78,1.78,-,1.55,1.55,1.55,1.64,1.46,1.62,1.81,2.09,1.78,1.78,1.78,1.78,-
KOTA METRO,1.64,1.43,1.29,1.48,1.48,0.81,0.81,0.88,0.88,0.88,0.88,0.88,-,1.64,1.43,1.29,1.48,1.48,0.81,0.81,0.88,0.88,0.88,0.88,0.88,-
TANJUNG PANDAN,0,0,0,0,0,0.08,0.08,0.13,0.59,0.59,0.59,0.59,-,0,0,0,0,0,0.08,0.08,0.13,0.59,0.59,0.59,0.59,-
