150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEDAN,2.83,-0.94,-0.31,0.32,-1.57,-0.52,1.8,3.73,1.13,-1.1,-1.22,4.26,-,3.28,-1.12,-0.36,0.3,-1.89,-0.64,2.1,4.4,1.32,-1.34,-1.43,5.02,-,0.17,0.21,0.08,0.97,0.19,0.19,0.12,-0.15,-0.19,0.28,-0.26,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,0.01,0,0.01,0.25,0.11,0.24,0.37,0.15,0.25,0.11,0.1,-
KOTA PADANGSIDIMPUAN,2.69,0.14,0.05,1.76,-1.74,-0.92,0.97,2.43,3.62,-1.44,-2.41,3.03,-,3.4,0.12,0.06,1.92,-2.21,-1.21,0.99,3.06,4.44,-1.84,-3.03,3.81,-,0.39,0.33,0.14,0.44,0.06,0.13,-0.09,0.32,0.25,0,-0.04,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.22,0.01,1.34,0.01,0.23,1.01,0.11,0.51,0.2,0.01,0.15,-
KOTA GUNUNGSITOLI,2.64,-1.96,-1.14,0.72,-0.94,-1.16,0.34,3.29,1.92,-1.59,-0.03,15.75,-,3.05,-2.37,-1.52,0.85,-1.1,-1.37,0.4,3.75,2.19,-1.92,-0.06,18.29,-,0,1.52,0,0,0,0.34,0,0.36,0,1.17,0.02,-0.24,-,0,0,0,1.2,0,0,0,0,-2.98,0,0,0,-,0,0,2.65,0,0,0,0,0.59,0.34,0,0.49,0,-
KAB DHARMASRAYA,3.71,-0.63,-0.23,1.55,-2.04,-0.03,1.86,1.67,1.91,-0.89,-1.19,2.89,-,4.41,-0.94,-0.32,1.94,-2.66,-0.09,2.34,2.08,2.38,-1.1,-1.48,3.59,-,0,0.21,0,0,0.39,0.04,0,0,0,0,0,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.21,0.71,0.17,0,0.41,0.28,0,0,0.01,0,0,0,-
KAB PASAMAN BARAT,5.25,0.44,-2.14,3.51,-5.59,-0.68,2.47,2.36,3.26,0.55,-1.79,5.28,-,6.54,0.46,-2.8,4.47,-7.2,-1.07,3.19,2.96,4.21,0.7,-2.28,6.78,-,0,-0.86,0.07,0.05,0,0,0.05,0,-0.2,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.08,0.58,0.24,0.2,0.25,0.72,0.17,0.35,0,0,0,0,-
KOTA PADANG,3.03,-0.17,-0.05,1.36,-1.95,-1.33,1.4,1.19,1.33,0.85,-0.33,3.36,-,3.78,-0.27,-0.12,1.62,-2.48,-1.72,1.47,1.41,1.7,1.04,-0.47,4.23,-,1.04,0.52,0.62,1.09,0.08,-0.2,0.16,0.29,-0.3,0,0.14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,0.05,0.03,0.09,0.03,0.13,1.56,0.46,0.14,0.22,0.17,0.25,-
KOTA BUKITTINGGI,2.95,-0.52,0.26,1.86,-2.23,-1.27,1.47,1.52,3,-0.16,-1.46,2.15,-,3.69,-0.72,0.31,2.25,-2.78,-1.67,1.78,1.84,3.69,-0.21,-1.85,2.69,-,0,0.06,0.15,0.6,0,0.21,0.07,0.07,0,0.07,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.33,0.03,0.21,0.04,0.23,0.41,0.36,0.44,0,0.02,0.06,-
TEMBILAHAN,2.39,-0.82,2.4,0.67,-0.94,-0.68,1.07,0.5,3.62,-0.29,-0.91,1.84,-,2.87,-1.03,2.89,0.79,-1.18,-0.91,1.24,0.48,4.36,-0.37,-1.1,2.23,-,0.26,0.2,0.57,0.22,0.07,-0.1,-0.01,0.39,0.13,0.06,0,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.15,0.01,0.01,0.23,0.64,0.44,0.65,0.16,0.15,0.01,0,-
KAB KAMPAR,4.77,-1.73,0.11,2.15,-3.84,-1.18,2.52,2.33,3.26,-2.08,-0.92,4.2,-,5.91,-2.24,0.01,2.63,-4.85,-1.55,3.02,2.79,4.07,-2.58,-1.17,5.27,-,0,0,1.59,1.4,0.35,-0.66,1.37,0,0,-2.01,0,-0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51,0.33,0.32,0.06,0.06,0.32,0.6,0.73,0.22,0.25,0,0.17,-
KOTA PEKANBARU,2.88,-0.21,0.41,1.38,-2.2,-0.74,1.34,1.8,2.75,-0.63,-0.9,2.32,-,3.38,-0.3,0.51,1.69,-2.72,-0.95,1.47,2.23,3.33,-0.8,-1.16,2.86,-,-0.23,0.31,0.02,0.3,-0.08,0.18,0.64,0.08,0.05,0.08,0,0.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.36,0.15,0,0.04,0.05,0.04,0.87,0.11,0.5,0.14,0.22,0,-
